venue_id,venue_name,venue_address,venue_live_busyness,venue_live_busyness_available,venue_forecasted_busyness,venue_forecast_busyness_available,venue_live_forecasted_delta,status
ven_4d3472516764353279534c5263777166384b4e746779514a496843,Manhattan Café Theatro,"R. Francisco da Cunha, 881 - Boa Viagem Recife - PE 51020-041 Brazil",25.0,True,65.0,True,-40.0,OK
ven_63575a324641454c4a704a526377715a5171476f3279594a496843,Boteco Ferro & Fogo,"Estr. do Encanamento, 1400 - Casa Forte Recife - PE 52061-020 Brazil",100.0,True,85.0,True,15.0,OK
ven_384d475144695472486f755263777159417a4c5037784c4a496843,clube assistencial esportivo bela vista,"Av. Aníbal Benévolo, 636 - Água Fria Recife - PE 52131-000 Brazil",90.0,True,75.0,True,15.0,OK
ven_6f2d4c633538545f5a5f2d5263777159556155484d56484a496843,Warehouse 14 Itaipava's,"Av. Alfredo Lisboa, s/n - Recife PE 50020-360 Brazil",30.0,True,80.0,True,-50.0,OK
ven_552d382d4754636236576452637771695136737a44646c4a496843,Pitombeira Four Corners,"Rua 27 de Janeiro, 128 - Carmo Olinda - PE 53020-020 Brazil",80.0,True,40.0,True,40.0,OK
ven_6f724d6444346967463861526377715a55566f7639526d4a496843,Mamute Beer,"Av. Beira Rio, 1313 - Madalena Recife - PE 50710-110 Brazil",85.0,True,75.0,True,10.0,OK
ven_5962366361534a5472537852637771596366416f62654f4a496843,Ursa Bar,"R. Quarenta e Oito, 197 - Espinheiro Recife - PE 52020-060 Brazil",100.0,True,95.0,True,5.0,OK
ven_73465a5163333563446b34526377715a676d5368722d694a496843,🍻Meu Amado botequim 🧆,"Av. José Gonçalves de Medeiros, 138 - Madalena Recife - PE 50720-575 Brazil",75.0,True,90.0,True,-15.0,OK
ven_417474615f737978344d5f526377715a55704b6b355f484a496843,Boteco do Bêu - @botecodobeu,"R. da Regeneração, 701 - Água Fria Recife - PE 52120-335 Brazil",100.0,True,90.0,True,10.0,OK
ven_4135314b464b6836386e5a526377715a4172624838356c4a496843,All - Bar Espinheiro,"R. Barão de Itamaracá, 10 - Espinheiro Recife - PE 52020-070 Brazil",100.0,True,100.0,True,0.0,OK
ven_497446446445676c6b6c6e526377715a51416a6f30316d4a496843,Frege,"Av. Rio Branco, 155 - Recife PE 50030-310 Brazil",15.0,True,45.0,True,-30.0,OK
ven_3065395457724139447a58526377715a457679664861304a496843,O quintal,"Av. Gen. San Martin, 679 - Cordeiro Recife - PE 50630-060 Brazil",100.0,True,75.0,True,25.0,OK
ven_454c2d7564323064364b74526377715a51416c703279624a496843,Vila Madalena Botequim | Bar & Restaurante,"R. da Hora, 722 - Espinheiro Recife - PE 52020-015 Brazil",5.0,True,90.0,True,-85.0,OK
ven_305f3169574f4b64716e56526377715a4d496f5f457a544a496843,Boteco vamo que vamo,"Estr. do Bongi, 1067 - Bongi Recife - PE 50830-260 Brazil",100.0,True,95.0,True,5.0,OK
ven_3870374f6b554444626c61526377715a38634c624662354a496843,Downtown Beer Garden,"Rua Quarenta e Oito, 490 - Quintal Espinheiro Recife - PE 52020-060, Brazil",50.0,True,100.0,True,-50.0,OK
ven_346b5678365653665655535263777166596b78515f33434a496843,Biruta Bar,"R. Bem Te VI, 13 - Brasília Teimosa Recife - PE 51010-350 Brazil",60.0,True,60.0,True,0.0,OK
ven_77647a437055764c676956526377715a414752794d345f4a496843,Orora Bar de Esquina,"R. da Aurora, 1139 - Santo Amaro Recife - PE 50040-090 Brazil",95.0,True,95.0,True,0.0,OK
ven_6f5f5475514c4f6b626b33526377715a6342636164596a4a496843,Pajubar,"Av. Manoel Borba, 693 - Boa Vista Recife - PE 50070-045 Brazil",100.0,True,45.0,True,55.0,OK
ven_596a487a4e567266473951526377715a77516d5a4d53344a496843,MalDita Pub,"Av. Marquês de Olinda, 302 - Recife PE 50030-000 Brazil",100.0,True,90.0,True,10.0,OK
ven_4d4e6b3539567a6972754e5263777166416c466a5379334a496843,Lux Nightlife Hub,"Av. Conselheiro Aguiar, 2217 - Boa Viagem Recife - PE 51111-011 Brazil",85.0,True,40.0,True,45.0,OK
ven_41347232585341612d707752637771656f3035775f79384a496843,Escritório - Zona Sul,"Rua Desembargador João Paes, 907 - Boa Viagem Recife - PE 51021-360 Brazil",,False,,False,,error
ven_5574314c594a6f456c6a44526377715945324f7937516d4a496843,Clube das Pás,"R. Odorico Mendes, 263 - Campo Grande Recife - PE 52031-080 Brazil",,False,,False,,error
ven_733567725a4e544d6a575452637771666b516f534e637a4a496843,Bar do Paulinho,"Av. Eng. Domingos Ferreira, 2244 - Boa Viagem Recife - PE 51020-030 Brazil",,False,,False,,error
ven_7350557a5a5a5a697634345263777166734a5f537755354a496843,Barchef Boteco,"Av. Conselheiro Aguiar, 2814 - Boa Viagem Recife - PE 51020-020 Brazil",,False,,False,,error
